[TL],skeletal tier,primary POA,secondary POA,tertiary POA,specific C POA,rounding,anteriority,apicality,backness,height,tenseness,manner,voicing,major class,aperture,oral airflow,lateral,nasality,stridency,vocal fold spread,vocal fold constricted
ɯ̽̃,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,back,high,lax,vowel,voiced,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
,,,,,,,,,,,,,,,,,,,,,
ə,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,central,mid,lax,vowel,voiced,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ɨ,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,central,high,tense,vowel,voiced,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ʉ,vowel,dorsal,labial,NA,NA,rounded,NA,NA,central,high,tense,vowel,voiced,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ə̃,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,central,mid,lax,vowel,voiced,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ɨ̃,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,central,high,tense,vowel,voiced,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ʉ̃,vowel,dorsal,labial,NA,NA,rounded,NA,NA,central,high,tense,vowel,voiced,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
,,,,,,,,,,,,,,,,,,,,,
i̥,vowel,dorsal,labial,coronal,NA,unrounded,anterior,laminal,front,high,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ɪ̥,vowel,dorsal,labial,coronal,NA,unrounded,anterior,laminal,front,high,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
e̥,vowel,dorsal,labial,coronal,NA,unrounded,anterior,laminal,front,mid,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ɛ̥,vowel,dorsal,labial,coronal,NA,unrounded,anterior,laminal,front,mid,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
æ̥,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,front,low,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ḁ,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,central,low,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ɑ̥,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,back,low,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
o̥,vowel,dorsal,labial,NA,NA,rounded,NA,NA,back,mid,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ɔ̥,vowel,dorsal,labial,NA,NA,rounded,NA,NA,back,mid,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
u̥,vowel,dorsal,labial,NA,NA,rounded,NA,NA,back,high,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ʊ̥,vowel,dorsal,labial,NA,NA,rounded,NA,NA,back,high,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
,,,,,,,,,,,,,,,,,,,,,
ĩ̥,vowel,dorsal,labial,coronal,NA,unrounded,anterior,laminal,front,high,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ɪ̥̃,vowel,dorsal,labial,coronal,NA,unrounded,anterior,laminal,front,high,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ẽ̥,vowel,dorsal,labial,coronal,NA,unrounded,anterior,laminal,front,mid,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ɛ̥̃,vowel,dorsal,labial,coronal,NA,unrounded,anterior,laminal,front,mid,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
æ̥̃,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,front,low,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ḁ̃,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,central,low,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ɑ̥̃,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,back,low,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
õ̥,vowel,dorsal,labial,NA,NA,rounded,NA,NA,back,mid,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ɔ̥̃,vowel,dorsal,labial,NA,NA,rounded,NA,NA,back,mid,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ũ̥,vowel,dorsal,labial,NA,NA,rounded,NA,NA,back,high,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ʊ̥̃,vowel,dorsal,labial,NA,NA,rounded,NA,NA,back,high,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
,,,,,,,,,,,,,,,,,,,,,
y̥,vowel,dorsal,labial,coronal,NA,rounded,anterior,laminal,front,high,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ʏ̥,vowel,dorsal,labial,coronal,NA,rounded,anterior,laminal,front,high,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ø̥,vowel,dorsal,labial,coronal,NA,rounded,anterior,laminal,front,mid,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
œ̥,vowel,dorsal,labial,coronal,NA,rounded,anterior,laminal,front,mid,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ɒ̥,vowel,dorsal,labial,NA,NA,rounded,NA,NA,back,low,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ɤ̥,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,back,mid,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ʌ̥,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,back,mid,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ɯ̥,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,back,high,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ɯ̥̽,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,back,high,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
,,,,,,,,,,,,,,,,,,,,,
ỹ̥,vowel,dorsal,labial,coronal,NA,rounded,anterior,laminal,front,high,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ʏ̥̃,vowel,dorsal,labial,coronal,NA,rounded,anterior,laminal,front,high,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ø̥̃,vowel,dorsal,labial,coronal,NA,rounded,anterior,laminal,front,mid,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
œ̥̃,vowel,dorsal,labial,coronal,NA,rounded,anterior,laminal,front,mid,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ɒ̥̃,vowel,dorsal,labial,NA,NA,rounded,NA,NA,back,low,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ɤ̥̃,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,back,mid,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ʌ̥̃,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,back,mid,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ɯ̥̃,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,back,high,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ɯ̥̽̃,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,back,high,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
,,,,,,,,,,,,,,,,,,,,,
ə̥,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,central,mid,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ɨ̥,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,central,high,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ʉ̥,vowel,dorsal,labial,NA,NA,rounded,NA,NA,central,high,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ə̥̃,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,central,mid,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ɨ̥̃,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,central,high,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ʉ̥̃,vowel,dorsal,labial,NA,NA,rounded,NA,NA,central,high,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
