[TL],skeletal tier,primary POA,secondary POA,tertiary POA,specific C POA,rounding,anteriority,apicality,backness,height,tenseness,manner,voicing,major class,aperture,oral airflow,lateral,nasality,stridency,vocal fold spread,vocal fold constricted
s,consonant,coronal,NA,NA,alveolar,NA,anterior,apical,NA,NA,NA,fricative,voiceless,obstruent,contoid,continuant,not lateral,oral,strident,not spread,not constricted
z,consonant,coronal,NA,NA,alveolar,NA,anterior,apical,NA,NA,NA,fricative,voiced,obstruent,contoid,continuant,not lateral,oral,strident,not spread,not constricted
ʃ,consonant,coronal,NA,NA,postalveolar,NA,posterior,laminal,NA,NA,NA,fricative,voiceless,obstruent,contoid,continuant,not lateral,oral,strident,not spread,not constricted
ʒ,consonant,coronal,NA,NA,postalveolar,NA,posterior,laminal,NA,NA,NA,fricative,voiced,obstruent,contoid,continuant,not lateral,oral,strident,not spread,not constricted
ʂ,consonant,coronal,NA,NA,retroflex,NA,posterior,apical,NA,NA,NA,fricative,voiceless,obstruent,contoid,continuant,not lateral,oral,strident,not spread,not constricted
ʐ,consonant,coronal,NA,NA,retroflex,NA,posterior,apical,NA,NA,NA,fricative,voiced,obstruent,contoid,continuant,not lateral,oral,strident,not spread,not constricted
n̪,consonant,coronal,NA,NA,dental,NA,anterior,laminal,NA,NA,NA,nasal stop,voiced,sonorant,contoid,occlusive,not lateral,nasal,NA,not spread,not constricted
n̪̥,consonant,coronal,NA,NA,dental,NA,anterior,laminal,NA,NA,NA,nasal stop,voiceless,sonorant,contoid,occlusive,not lateral,nasal,NA,not spread,not constricted
n,consonant,coronal,NA,NA,alveolar,NA,anterior,apical,NA,NA,NA,nasal stop,voiced,sonorant,contoid,occlusive,not lateral,nasal,NA,not spread,not constricted
n̥,consonant,coronal,NA,NA,alveolar,NA,anterior,apical,NA,NA,NA,nasal stop,voiceless,sonorant,contoid,occlusive,not lateral,nasal,NA,not spread,not constricted
ṉ,consonant,coronal,NA,NA,postalveolar,NA,posterior,laminal,NA,NA,NA,nasal stop,voiced,sonorant,contoid,occlusive,not lateral,nasal,NA,not spread,not constricted
