﻿rule,name,family
"[high,vowel,voiced]>[voiceless]/[voiceless]_#",word-final high vowel devoicing after voiceless consonants,vowel devoicing
"[vowel,voiced]>[voiceless]/[voiceless]_[voiceless]",vowel devoicing between voiceless consonants,vowel devoicing
"[high,vowel,voiced]>[voiceless]/[voiceless]_[voiceless]",high vowel devoicing between voiceless consonants,vowel devoicing
,,
"[oral stop,voiceless]>[voiced]/[nasal,consonant]_",postnasal voicing of stops,consonant voicing
"[obstruent,voiceless]>[voiced]/[nasal,consonant]_",postnasal voicing of obstruents,consonant voicing
"[fricative,voiceless]>[voiced]/[nasal,consonant]_",postnasal voicing of fricatives,consonant voicing
,,
"[mid,vowel]>[high]/_#",word-final raising of mid vowels,vowel height
"[hiɡh,vowel]>[mid]/_#",word-final lowerinɡ of hiɡh vowels,vowel height
"[low,vowel]>[mid]/_#",word-final raising of low vowels,vowel height
"[mid,vowel]>[high]/_[voiceless,consonant][consonant]&_[voiceless,consonant]#",raising of mid vowels before voiceless codas,vowel height
"[low,vowel]>[mid]/_[voiceless,consonant][consonant]&_[voiceless,consonant]#",raising of low vowels before voiceless codas,vowel height
"[mid,vowel]>[high]/_[voiced,consonant][consonant]&_[voiced,consonant]#",raising of mid vowels before voiced codas,vowel height
,,
"[velar,consonant]>[uvular,mid]/[back,mid,vowel]_&[back,low,vowel]_",uvularization of velars after back non-high vowels,CV assimilation
"[velar,consonant]>[uvular,mid]/_[back,mid,vowel]&_[back,low,vowel]",uvularization of velars before back non-high vowels,CV assimilation
"<<PREDEFINED>>{'l':'ɫ'}/_#&_[back,vowel]",velarization of /l/ before back vowels,CV assimilation
"<<PREDEFINED>>{'l':'ɫ'}/_#&[back,vowel]_",velarization of /l/ after back vowels,CV assimilation
"[alveolar,oral stop]>[dental,laminal]/_[front,vowel]",dentalization of alveolar stops before front vowels,CV assimilation
"[alveolar,oral stop]>[dental,laminal,fricative,continuant]/_[front,vowel]",dentalization and spirantization of alveolar stops before front vowels,CV assimilation
"<<PREDEFINED>>{'d':'l'}/_[mid,vowel]&_[low,vowel]",lateralization of /d/ before nonhigh vowels,CV assimilation
"<<PREDEFINED>>{'d':'l'}/[mid,vowel]_&[low,vowel]_",lateralization of /d/ after nonhigh vowels,CV assimilation
"[high,front,vowel]>[central]/[postalveolar]_",retraction of high front vowels after postalveolars,CV assimilation
"[high,front,vowel]>[central]/[velar]_",retraction of high front vowels after velars,CV assimilation
"[high,back,vowel]>[central]/[alveolar]_",fronting of high back vowels after alveolars,CV assimilation
,,
"[alveolar,fricative]>[postalveolar,laminal,posterior]/_#",word-final ashibilation of alveolar fricatives,weird
"[alveolar,fricative]>[postalveolar,laminal,posterior]/_#&_[consonant]",ashibilation of alveolar fricatives in codas,weird
,,
<<PREDEFINED>>{'s':'h'}/_#&_[consonant][consonant],debuccalization of /s/ in codas,weird
<<PREDEFINED>>{'l':'ɫ'}/_#&_[consonant][consonant],velarization of /l/ in codas,weird
,,
"[oral stop,voiced]&[affricate,voiced]>[voiceless]/_#",and in A environment test rule,consonant devoicing
,,
"[voiced,velar,obstruent]>0/[vowel]_[vowel]",intervocalic deletion of voiced velar obstruents,deletion
"[velar,obstruent]>0/[vowel]_[vowel]",intervocalic deletion of velar obstruents,deletion
"[voiced,velar,oral stop]>0/[vowel]_[vowel]",intervocalic deletion of voiced velar oral stops,deletion
"[voiced,obstruent]>0/[vowel]_[vowel]",intervocalic deletion of voiced obstruents,deletion
"[voiced,oral stop]>0/[vowel]_[vowel]",intervocalic deletion of voiced oral stops,deletion
"[high,vowel]>0/[vowel][sonorant,contoid]_[obstruent,consonant]#",deletion of high vowels in final closed syllables to create rising sonority codas,deletion
"[high,front,vowel]>0/[vowel][sonorant,contoid]_[obstruent,consonant]#",deletion of high front vowels in final closed syllables to carete rising sonority codas,deletion
,,
<<PREDEFINED>>{'':'i'}/[consonant]_[consonant],test rule,test
"[vowel,high]>[$-2$rounded]/[vowel,high][consonant]_#",copy cat rule,test
